timestamp;T_BOILER100;T_BOILER200;T_IN;T_MF4_IN;T_MF4_OUT;T_MM2_IN;T_MM2_OUT;Sinal_vazao1
2025-05-21 04:56:52;-100.0;-100.0;-100.0;26.39;23.3;25.63;25.92;0.0
2025-05-21 05:01:52;-100.0;-100.0;-100.0;23.93;24.28;25.71;25.36;0.0
2025-05-21 05:02:21;-100.0;-100.0;-100.0;25.17;23.87;25.51;25.42;0.0
2025-05-21 05:06:52;-100.0;-100.0;-100.0;21.2;24.88;25.61;25.08;0.0
2025-05-21 05:11:52;-100.0;-100.0;-100.0;19.04;22.55;25.67;25.73;0.0
2025-05-21 05:18:41;-100.0;-100.0;-100.0;22.74;22.98;24.6;25.56;0.0
2025-05-21 05:26:52;-100.0;-100.0;-100.0;17.51;23.06;25.21;24.96;0.0
2025-05-21 05:31:52;-100.0;-100.0;-100.0;23.61;23.74;24.42;24.88;0.0
2025-05-21 05:41:52;-100.0;-100.0;-100.0;19.12;24.33;25.02;24.09;0.0
2025-05-21 05:43:46;-100.0;-100.0;-100.0;26.86;23.47;24.06;23.91;0.0
2025-05-21 05:46:52;-100.0;-100.0;-100.0;19.21;22.94;24.61;24.56;0.0
2025-05-21 05:48:00;-100.0;-100.0;-100.0;17.12;22.32;24.58;24.28;0.0
2025-05-21 05:48:01;-100.0;-100.0;-100.0;19.33;22.13;24.6;24.23;0.0
2025-05-21 05:56:52;-100.0;-100.0;-100.0;26.55;23.18;23.88;23.78;0.0
2025-05-21 05:57:58;-100.0;-100.0;-100.0;24.83;22.05;23.43;24.53;0.0
2025-05-21 06:04:37;-100.0;-100.0;-100.0;23.9;22.01;23.86;24.62;0.0
2025-05-21 06:08:41;-100.0;-100.0;-100.0;26.51;23.22;23.85;24.17;0.0
2025-05-21 06:09:30;-100.0;-100.0;-100.0;19.44;21.8;24.4;24.43;0.0
2025-05-21 06:11:52;-100.0;-100.0;-100.0;31.0;21.92;25.15;23.55;0.0
2025-05-21 06:14:12;-100.0;-100.0;-100.0;18.67;22.2;25.5;23.46;0.0
2025-05-21 06:14:56;-100.0;-100.0;-100.0;26.98;23.24;24.17;22.86;0.0
2025-05-21 06:15:03;-100.0;-100.0;-100.0;15.81;22.56;23.68;23.59;0.0
2025-05-21 06:16:52;-100.0;-100.0;-100.0;20.78;22.26;23.4;24.9;0.0
2025-05-21 06:21:52;-100.0;-100.0;-100.0;29.68;22.57;23.73;24.09;0.0
2025-05-21 06:23:34;-100.0;-100.0;-100.0;15.12;21.83;24.29;23.95;0.0
2025-05-21 06:23:35;-100.0;-100.0;-100.0;13.95;20.84;24.84;23.84;0.0
2025-05-21 06:24:11;-100.0;-100.0;-100.0;19.76;20.4;24.15;23.61;0.0
2025-05-21 06:24:14;-100.0;-100.0;-100.0;31.07;20.24;24.98;23.99;0.0
2025-05-21 06:26:52;-100.0;-100.0;-100.0;12.84;21.55;24.56;23.93;0.0
2025-05-21 06:31:52;-100.0;-100.0;-100.0;19.28;21.97;23.66;24.67;0.0
2025-05-21 06:33:28;-100.0;-100.0;-100.0;12.01;25.53;24.14;24.12;0.0
2025-05-21 06:41:52;-100.0;-100.0;-100.0;14.41;23.49;23.37;25.07;0.0
2025-05-21 06:51:52;-100.0;-100.0;-100.0;12.31;23.33;25.85;24.52;0.0
2025-05-21 06:54:14;-100.0;-100.0;-100.0;23.0;21.54;26.48;25.34;0.0
2025-05-21 06:54:16;-100.0;-100.0;-100.0;21.06;20.85;26.57;24.1;0.0
2025-05-21 07:02:51;-100.0;-100.0;-100.0;8.64;28.81;28.6;25.44;0.0
2025-05-21 07:02:55;-100.0;-100.0;-100.0;10.77;24.56;29.13;25.45;0.0
2025-05-21 07:16:04;-100.0;-100.0;-100.0;15.86;28.58;31.63;26.47;0.0
2025-05-21 07:16:08;-100.0;-100.0;-100.0;16.8;27.63;31.37;26.86;0.0
2025-05-21 07:16:52;-100.0;-100.0;-100.0;23.66;26.32;31.5;27.22;0.0
2025-05-21 07:18:10;-100.0;-100.0;-100.0;21.66;27.82;32.44;26.21;0.0
2025-05-21 07:18:53;-100.0;-100.0;-100.0;29.98;28.21;32.08;26.55;0.0
2025-05-21 07:18:57;-100.0;-100.0;-100.0;19.25;29.36;32.73;26.57;0.0
2025-05-21 07:20:06;-100.0;-100.0;-100.0;13.29;26.38;33.76;26.39;0.0
2025-05-21 07:20:07;-100.0;-100.0;-100.0;14.27;26.65;33.45;26.79;0.0
2025-05-21 07:20:08;-100.0;-100.0;-100.0;28.78;31.47;32.74;26.91;0.0
2025-05-21 07:20:09;-100.0;-100.0;-100.0;19.89;29.03;32.4;27.33;0.0
